Orthogroup	Duplications (all)	Duplications (50% support)
OG0000433	0	0
OG0000434	0	0
OG0000435	0	0
OG0000436	0	0
OG0000437	0	0
OG0000438	0	0
OG0000439	0	0
OG0000440	0	0
OG0000441	0	0
OG0000442	0	0
OG0000443	0	0
OG0000444	0	0
OG0000445	0	0
OG0000446	0	0
OG0000447	0	0
OG0000448	0	0
OG0000449	0	0
OG0000450	0	0
OG0000451	0	0
OG0000452	0	0
OG0000453	0	0
OG0000454	0	0
OG0000455	0	0
OG0000456	0	0
OG0000457	0	0
OG0000458	0	0
OG0000459	0	0
OG0000460	0	0
OG0000461	0	0
OG0000462	0	0
OG0000463	0	0
OG0000464	0	0
OG0000465	0	0
OG0000466	0	0
OG0000467	0	0
OG0000468	0	0
OG0000469	0	0
OG0000470	0	0
OG0000471	0	0
OG0000472	0	0
OG0000473	0	0
OG0000474	0	0
OG0000475	0	0
OG0000476	0	0
OG0000477	0	0
OG0000478	0	0
OG0000479	0	0
OG0000480	0	0
OG0000481	0	0
OG0000482	0	0
OG0000483	0	0
OG0000484	0	0
OG0000485	0	0
OG0000486	0	0
OG0000487	0	0
OG0000488	0	0
OG0000489	0	0
OG0000490	0	0
OG0000491	0	0
OG0000492	0	0
OG0000493	0	0
OG0000494	0	0
OG0000495	0	0
OG0000496	0	0
OG0000497	0	0
OG0000498	0	0
OG0000499	0	0
OG0000500	0	0
OG0000501	0	0
OG0000502	0	0
OG0000503	0	0
OG0000504	0	0
OG0000505	0	0
OG0000506	0	0
OG0000507	0	0
OG0000508	0	0
OG0000509	0	0
OG0000510	0	0
OG0000511	0	0
OG0000512	0	0
OG0000513	0	0
OG0000514	0	0
OG0000515	0	0
OG0000516	0	0
OG0000517	0	0
OG0000518	0	0
OG0000519	0	0
OG0000520	0	0
OG0000521	0	0
OG0000522	0	0
OG0000523	0	0
OG0000524	0	0
OG0000525	0	0
OG0000526	0	0
OG0000527	0	0
OG0000528	0	0
OG0000529	0	0
OG0000530	0	0
OG0000531	0	0
OG0000532	0	0
OG0000533	0	0
OG0000534	0	0
OG0000535	0	0
OG0000536	0	0
OG0000537	0	0
OG0000538	0	0
OG0000539	0	0
OG0000540	0	0
OG0000541	0	0
OG0000542	0	0
OG0000543	0	0
OG0000544	0	0
OG0000545	0	0
OG0000546	0	0
OG0000547	0	0
OG0000548	0	0
OG0000549	0	0
OG0000550	0	0
OG0000551	0	0
OG0000552	0	0
OG0000553	0	0
OG0000554	0	0
OG0000555	0	0
OG0000556	0	0
OG0000557	0	0
OG0000558	0	0
OG0000559	0	0
OG0000560	0	0
OG0000561	0	0
OG0000562	0	0
OG0000563	0	0
OG0000564	0	0
OG0000565	0	0
OG0000566	0	0
OG0000567	0	0
OG0000568	0	0
OG0000569	0	0
OG0000570	1	1
OG0000571	1	1
OG0000572	0	0
OG0000573	1	1
OG0000574	0	0
OG0000575	0	0
OG0000576	0	0
OG0000577	0	0
OG0000578	0	0
OG0000579	0	0
OG0000580	0	0
OG0000581	0	0
OG0000582	0	0
OG0000583	0	0
OG0000584	0	0
OG0000585	0	0
OG0000586	0	0
OG0000587	0	0
OG0000588	0	0
OG0000589	0	0
OG0000590	0	0
OG0000591	0	0
OG0000592	0	0
OG0000593	0	0
OG0000594	0	0
OG0000595	0	0
OG0000596	0	0
OG0000597	0	0
OG0000598	0	0
OG0000599	0	0
OG0000600	1	1
OG0000601	0	0
OG0000602	0	0
OG0000603	0	0
OG0000604	0	0
OG0000605	0	0
OG0000606	0	0
OG0000607	0	0
OG0000608	0	0
OG0000609	0	0
OG0000610	0	0
OG0000611	0	0
OG0000612	0	0
OG0000613	0	0
OG0000614	0	0
OG0000615	0	0
OG0000616	0	0
OG0000617	0	0
OG0000618	0	0
OG0000619	0	0
OG0000620	0	0
OG0000621	0	0
OG0000622	0	0
OG0000623	0	0
OG0000624	0	0
OG0000625	0	0
OG0000626	0	0
OG0000627	0	0
OG0000628	0	0
OG0000629	0	0
OG0000630	0	0
OG0000631	0	0
OG0000632	0	0
OG0000633	0	0
OG0000634	0	0
OG0000635	0	0
OG0000636	0	0
OG0000637	0	0
OG0000638	0	0
OG0000639	0	0
OG0000640	0	0
OG0000641	0	0
OG0000642	0	0
OG0000643	0	0
OG0000644	0	0
OG0000645	0	0
OG0000646	0	0
OG0000647	0	0
OG0000648	0	0
OG0000649	0	0
OG0000650	0	0
OG0000651	0	0
OG0000652	0	0
OG0000653	0	0
OG0000654	0	0
OG0000655	0	0
OG0000656	0	0
OG0000657	0	0
OG0000658	0	0
OG0000659	0	0
OG0000660	0	0
OG0000661	0	0
OG0000662	0	0
OG0000663	0	0
OG0000664	0	0
OG0000665	0	0
OG0000666	0	0
OG0000667	0	0
OG0000668	0	0
OG0000669	0	0
OG0000670	0	0
OG0000671	0	0
OG0000672	0	0
OG0000673	0	0
OG0000674	0	0
OG0000675	0	0
OG0000676	0	0
OG0000677	0	0
OG0000678	0	0
OG0000679	0	0
OG0000680	0	0
OG0000681	0	0
OG0000682	0	0
OG0000683	0	0
OG0000684	0	0
OG0000685	0	0
OG0000686	0	0
OG0000687	0	0
OG0000688	0	0
OG0000689	0	0
OG0000690	0	0
OG0000691	0	0
OG0000692	0	0
OG0000693	0	0
OG0000694	0	0
OG0000695	0	0
OG0000696	0	0
OG0000697	0	0
OG0000698	0	0
OG0000699	0	0
OG0000700	0	0
OG0000701	0	0
OG0000702	0	0
OG0000703	0	0
OG0000704	0	0
OG0000705	0	0
OG0000706	0	0
OG0000707	0	0
OG0000708	0	0
OG0000709	0	0
OG0000710	0	0
OG0000711	2	2
OG0000712	0	0
OG0000713	0	0
OG0000714	0	0
OG0000715	0	0
OG0000716	0	0
OG0000717	0	0
OG0000718	0	0
OG0000719	0	0
OG0000720	0	0
OG0000721	0	0
OG0000722	0	0
OG0000723	0	0
OG0000724	0	0
OG0000725	0	0
OG0000726	0	0
OG0000727	0	0
OG0000728	0	0
OG0000729	0	0
OG0000730	0	0
OG0000731	0	0
OG0000732	0	0
OG0000733	0	0
OG0000734	0	0
OG0000735	0	0
OG0000736	0	0
OG0000737	0	0
OG0000738	0	0
OG0000739	0	0
OG0000740	0	0
OG0000741	0	0
OG0000742	0	0
OG0000743	0	0
OG0000744	0	0
OG0000745	0	0
OG0000746	0	0
OG0000747	0	0
OG0000748	0	0
OG0000749	0	0
OG0000750	0	0
OG0000751	0	0
OG0000752	0	0
OG0000753	0	0
OG0000754	0	0
OG0000755	0	0
OG0000756	0	0
OG0000757	0	0
OG0000758	0	0
OG0000759	0	0
OG0000760	0	0
OG0000761	0	0
OG0000762	0	0
OG0000763	0	0
OG0000764	0	0
OG0000765	0	0
OG0000766	0	0
OG0000767	0	0
OG0000768	0	0
OG0000769	0	0
OG0000770	0	0
OG0000771	0	0
OG0000772	0	0
OG0000773	0	0
OG0000774	0	0
OG0000775	0	0
OG0000776	0	0
OG0000777	0	0
OG0000778	0	0
OG0000779	0	0
OG0000780	0	0
OG0000781	0	0
OG0000782	0	0
OG0000783	0	0
OG0000784	0	0
OG0000785	0	0
OG0000786	0	0
OG0000787	0	0
OG0000788	0	0
OG0000789	0	0
OG0000790	0	0
OG0000791	0	0
OG0000792	0	0
OG0000793	0	0
OG0000794	0	0
OG0000795	0	0
OG0000796	0	0
OG0000797	0	0
OG0000798	0	0
OG0000799	0	0
OG0000800	0	0
OG0000801	0	0
OG0000802	0	0
OG0000803	0	0
OG0000804	0	0
OG0000805	0	0
OG0000806	0	0
OG0000807	0	0
OG0000808	0	0
OG0000809	0	0
OG0000810	0	0
OG0000811	0	0
OG0000812	0	0
OG0000813	0	0
OG0000814	0	0
OG0000815	0	0
OG0000816	0	0
OG0000817	0	0
OG0000818	0	0
OG0000819	0	0
OG0000820	0	0
OG0000821	0	0
OG0000822	0	0
OG0000823	0	0
OG0000824	0	0
OG0000825	0	0
OG0000826	0	0
OG0000827	0	0
OG0000828	0	0
OG0000829	0	0
OG0000830	0	0
OG0000831	0	0
OG0000832	0	0
OG0000833	0	0
OG0000834	0	0
OG0000835	0	0
OG0000836	0	0
OG0000837	0	0
OG0000838	0	0
OG0000839	0	0
OG0000840	0	0
OG0000841	0	0
OG0000842	0	0
OG0000843	0	0
OG0000844	0	0
OG0000845	0	0
OG0000846	0	0
OG0000847	0	0
OG0000848	0	0
OG0000849	0	0
OG0000850	0	0
OG0000851	0	0
OG0000852	0	0
OG0000853	0	0
OG0000854	0	0
OG0000855	0	0
OG0000856	0	0
OG0000857	0	0
OG0000858	0	0
OG0000859	0	0
OG0000860	0	0
OG0000861	0	0
OG0000862	0	0
OG0000863	0	0
OG0000864	0	0
OG0000865	0	0
OG0000866	0	0
OG0000867	0	0
OG0000868	0	0
OG0000869	0	0
OG0000870	0	0
OG0000871	0	0
OG0000872	0	0
OG0000873	0	0
OG0000874	0	0
OG0000875	0	0
OG0000876	0	0
OG0000877	0	0
OG0000878	0	0
OG0000879	0	0
OG0000880	0	0
OG0000881	0	0
OG0000882	0	0
OG0000883	0	0
OG0000884	0	0
OG0000885	0	0
OG0000886	0	0
OG0000887	0	0
OG0000888	0	0
OG0000889	0	0
OG0000890	0	0
OG0000891	0	0
OG0000892	1	1
OG0000893	0	0
OG0000894	0	0
OG0000895	0	0
OG0000896	0	0
OG0000897	0	0
OG0000898	0	0
OG0000899	0	0
OG0000900	0	0
OG0000901	0	0
OG0000902	0	0
OG0000903	0	0
OG0000904	0	0
OG0000905	0	0
OG0000906	0	0
OG0000907	0	0
OG0000908	0	0
OG0000909	0	0
OG0000910	0	0
OG0000911	0	0
OG0000912	0	0
OG0000913	0	0
OG0000914	0	0
OG0000915	0	0
OG0000916	0	0
OG0000917	0	0
OG0000918	0	0
OG0000919	0	0
OG0000920	0	0
OG0000921	0	0
OG0000922	0	0
OG0000923	0	0
OG0000924	0	0
OG0000925	0	0
OG0000926	0	0
OG0000927	0	0
OG0000928	0	0
OG0000929	0	0
OG0000930	0	0
OG0000931	0	0
OG0000932	0	0
OG0000933	0	0
OG0000934	0	0
OG0000935	0	0
OG0000936	0	0
OG0000937	0	0
OG0000938	0	0
OG0000939	0	0
OG0000940	0	0
OG0000941	0	0
OG0000942	0	0
OG0000943	0	0
OG0000944	0	0
OG0000945	1	1
OG0000946	0	0
OG0000947	1	1
OG0000948	0	0
OG0000949	0	0
OG0000950	0	0
OG0000951	0	0
OG0000952	0	0
OG0000953	0	0
OG0000954	0	0
OG0000955	0	0
OG0000956	0	0
OG0000957	0	0
OG0000958	0	0
OG0000959	0	0
OG0000960	0	0
OG0000961	0	0
OG0000962	0	0
OG0000963	0	0
OG0000964	0	0
OG0000965	0	0
OG0000966	0	0
OG0000967	0	0
OG0000968	0	0
OG0000969	0	0
OG0000970	0	0
OG0000971	0	0
OG0000972	0	0
OG0000973	0	0
OG0000974	0	0
OG0000975	0	0
OG0000976	0	0
OG0000977	0	0
OG0000978	0	0
OG0000979	0	0
OG0000980	0	0
OG0000981	0	0
OG0000982	0	0
OG0000983	0	0
OG0000984	0	0
OG0000985	0	0
OG0000986	0	0
OG0000987	0	0
OG0000988	0	0
OG0000989	0	0
OG0000990	0	0
OG0000991	0	0
OG0000992	0	0
OG0000993	0	0
OG0000994	0	0
OG0000995	0	0
OG0000996	0	0
OG0000997	0	0
OG0000998	0	0
OG0000999	0	0
OG0001000	0	0
OG0001001	0	0
OG0001002	0	0
OG0001003	0	0
OG0001004	0	0
OG0001005	0	0
OG0001006	0	0
OG0001007	0	0
OG0001008	0	0
OG0001009	0	0
OG0001010	0	0
OG0001011	0	0
OG0001012	0	0
OG0001013	0	0
OG0001014	0	0
OG0001015	0	0
OG0001016	0	0
OG0001017	0	0
OG0001018	0	0
OG0001019	0	0
OG0001020	0	0
OG0001021	0	0
OG0001022	0	0
OG0001023	0	0
OG0001024	0	0
OG0001025	0	0
OG0001026	0	0
OG0001027	0	0
OG0001028	0	0
OG0001029	0	0
OG0001030	0	0
OG0001031	0	0
OG0001032	0	0
OG0001033	0	0
OG0001034	0	0
OG0001035	0	0
OG0001036	0	0
OG0001037	0	0
OG0001038	0	0
OG0001039	0	0
OG0001040	0	0
OG0001041	0	0
OG0001042	0	0
OG0001043	0	0
OG0001044	0	0
OG0001045	0	0
OG0001046	0	0
OG0001047	0	0
OG0001048	0	0
OG0001049	0	0
OG0001050	0	0
OG0001051	0	0
OG0001052	0	0
OG0001053	0	0
OG0001054	0	0
OG0001055	0	0
OG0001056	0	0
OG0001057	0	0
OG0001058	0	0
OG0001059	0	0
OG0001060	0	0
OG0001061	0	0
OG0001062	1	1
OG0001063	0	0
OG0001064	0	0
OG0001065	0	0
OG0001066	0	0
OG0001067	0	0
OG0001068	0	0
OG0001069	0	0
OG0001070	0	0
OG0001071	0	0
OG0001072	0	0
OG0001073	0	0
OG0001074	0	0
OG0001075	0	0
OG0001076	0	0
OG0001077	0	0
OG0001078	0	0
OG0001079	0	0
OG0001080	0	0
OG0001081	0	0
OG0001082	0	0
OG0001083	0	0
OG0001084	0	0
OG0001085	0	0
OG0001086	0	0
OG0001087	0	0
OG0001088	0	0
OG0001089	0	0
OG0001090	0	0
OG0001091	0	0
OG0001092	0	0
OG0001093	0	0
OG0001094	0	0
OG0001095	0	0
OG0001096	0	0
OG0001097	0	0
OG0001098	0	0
OG0001099	0	0
OG0001100	0	0
OG0001101	0	0
OG0001102	0	0
OG0001103	0	0
OG0001104	0	0
OG0001105	0	0
OG0001106	0	0
OG0001107	0	0
OG0001108	0	0
OG0001109	0	0
OG0001110	0	0
OG0001111	0	0
OG0001112	0	0
OG0001113	0	0
OG0001114	0	0
OG0001115	0	0
OG0001116	0	0
OG0001117	0	0
OG0001118	0	0
OG0001119	0	0
OG0001120	0	0
OG0001121	0	0
OG0001122	0	0
OG0001123	0	0
OG0001124	0	0
OG0001125	0	0
OG0001126	1	1
OG0001127	0	0
OG0001128	0	0
OG0001129	0	0
OG0001130	0	0
OG0001131	0	0
OG0001132	0	0
OG0001133	0	0
OG0001134	0	0
OG0001135	0	0
OG0001136	0	0
OG0001137	0	0
OG0001138	0	0
OG0001139	0	0
OG0001140	0	0
OG0001141	0	0
OG0001142	0	0
OG0001143	0	0
OG0001144	0	0
OG0001145	0	0
OG0001146	0	0
OG0001147	0	0
OG0001148	0	0
OG0001149	0	0
OG0001150	0	0
OG0001151	0	0
OG0001152	0	0
OG0001153	0	0
OG0001154	0	0
OG0001155	0	0
OG0001156	0	0
OG0001157	0	0
OG0001158	0	0
OG0001159	0	0
OG0001160	0	0
OG0001161	0	0
OG0001162	0	0
OG0001163	0	0
OG0001164	0	0
OG0001165	0	0
OG0001166	0	0
OG0001167	0	0
OG0001168	0	0
OG0001169	0	0
OG0001170	0	0
OG0001171	1	1
OG0001172	0	0
OG0001173	0	0
OG0001174	0	0
OG0001175	0	0
OG0001176	0	0
OG0001177	0	0
OG0001178	0	0
OG0001179	0	0
OG0001180	0	0
OG0001181	0	0
OG0001182	0	0
OG0001183	0	0
OG0001184	0	0
OG0001185	0	0
OG0001186	0	0
OG0001187	0	0
OG0001188	0	0
OG0001189	0	0
OG0001190	0	0
OG0001191	0	0
OG0001192	0	0
OG0001193	0	0
OG0001194	0	0
OG0001195	0	0
OG0001196	0	0
OG0001197	0	0
OG0001198	0	0
OG0001199	0	0
OG0001200	0	0
OG0001201	0	0
OG0001202	0	0
OG0001203	0	0
OG0001204	0	0
OG0001205	0	0
OG0001206	0	0
OG0001207	0	0
OG0001208	0	0
OG0001209	0	0
OG0001210	0	0
OG0001211	1	1
OG0001212	0	0
OG0001213	0	0
OG0001214	0	0
OG0001215	0	0
OG0001216	0	0
OG0001217	0	0
OG0001218	0	0
OG0001219	0	0
OG0001220	0	0
OG0001221	0	0
OG0001222	0	0
OG0001223	0	0
OG0001224	0	0
OG0001225	0	0
OG0001226	0	0
OG0001227	0	0
OG0001228	0	0
OG0001229	0	0
OG0001230	0	0
OG0001231	0	0
OG0001232	0	0
OG0001233	0	0
OG0001234	0	0
OG0001235	0	0
OG0001236	0	0
OG0001237	0	0
OG0001238	0	0
OG0001239	0	0
OG0001240	0	0
OG0001241	0	0
OG0001242	0	0
OG0001243	0	0
OG0001244	0	0
OG0001245	0	0
OG0001246	0	0
OG0001247	0	0
OG0001248	0	0
OG0001249	0	0
OG0001250	0	0
OG0001251	0	0
OG0001252	0	0
OG0001253	0	0
OG0001254	0	0
OG0001255	0	0
OG0001256	0	0
OG0001257	0	0
OG0001258	0	0
OG0001259	0	0
OG0001260	0	0
OG0001261	0	0
OG0001262	0	0
OG0001263	0	0
OG0001264	0	0
OG0001265	0	0
OG0001266	0	0
OG0001267	0	0
OG0001268	0	0
OG0001269	0	0
OG0001270	0	0
OG0001271	0	0
OG0001272	0	0
OG0001273	0	0
OG0001274	0	0
OG0001275	0	0
OG0001276	0	0
OG0001277	0	0
OG0001278	0	0
OG0001279	0	0
OG0001280	1	1
OG0001281	1	1
OG0001282	0	0
OG0001283	0	0
OG0001284	0	0
OG0001285	0	0
OG0001286	0	0
OG0001287	0	0
OG0001288	1	1
OG0001289	0	0
OG0001290	0	0
OG0001291	0	0
OG0001292	0	0
OG0001293	0	0
OG0001294	0	0
OG0001295	0	0
OG0001296	0	0
OG0001297	0	0
OG0001298	0	0
OG0001299	0	0
OG0001300	0	0
OG0001301	0	0
OG0001302	0	0
OG0001303	0	0
OG0001304	0	0
OG0001305	0	0
OG0001306	0	0
OG0001307	0	0
OG0001308	0	0
OG0001309	1	1
OG0001310	0	0
OG0001311	0	0
OG0001312	0	0
OG0001313	0	0
OG0001314	0	0
OG0001315	0	0
OG0001316	0	0
OG0001317	0	0
OG0001318	0	0
OG0001319	0	0
OG0001320	0	0
OG0001321	0	0
OG0001322	0	0
OG0001323	0	0
OG0001324	0	0
OG0001325	0	0
OG0001326	0	0
OG0001327	0	0
OG0001328	0	0
OG0001329	0	0
OG0001330	0	0
OG0001331	0	0
OG0001332	0	0
OG0001333	0	0
OG0001334	0	0
OG0001335	0	0
OG0001336	0	0
OG0001337	0	0
OG0001338	0	0
OG0001339	0	0
OG0001340	0	0
OG0001341	0	0
OG0001342	0	0
OG0001343	0	0
OG0001344	0	0
OG0001345	0	0
OG0001346	0	0
OG0001347	0	0
OG0001348	0	0
OG0001349	0	0
OG0001350	0	0
OG0001351	0	0
OG0001352	0	0
OG0001353	0	0
OG0001354	0	0
OG0001355	0	0
OG0001356	0	0
OG0001357	0	0
OG0001358	0	0
OG0001359	0	0
OG0001360	0	0
OG0001361	0	0
OG0001362	0	0
OG0001363	0	0
OG0001364	0	0
OG0001365	0	0
OG0001366	0	0
OG0001367	0	0
OG0001368	0	0
OG0001369	0	0
OG0001370	0	0
OG0001371	0	0
OG0001372	0	0
OG0001373	0	0
OG0001374	0	0
OG0001375	0	0
OG0001376	0	0
OG0001377	0	0
OG0001378	0	0
OG0001379	0	0
OG0001380	0	0
OG0001381	0	0
OG0001382	0	0
OG0001383	0	0
OG0001384	0	0
OG0001385	0	0
OG0001386	0	0
OG0001387	0	0
OG0001388	0	0
OG0001389	0	0
OG0001390	0	0
OG0001391	0	0
OG0001392	0	0
OG0001393	0	0
OG0001394	0	0
